title,release_date,popularity,vote_average,vote_count
Redux Redux,2026-02-20,6.4141,6.49,49
G.I. Joe: The Rise of Cobra,2009-08-07,5.4911,5.785,4857
Signs,2002-08-02,7.6299,6.699,6143
The Platform,2019-09-22,6.013,6.969,7715
Spaceballs,1987-06-24,6.0781,6.863,3323
John Carter,2012-03-09,6.4593,6.358,6014
Evangelion: 3.0+1.0 Thrice Upon a Time,2022-12-06,6.5625,8.197,919
Ex Machina,2015-04-10,7.2793,7.574,14085
Chronicle,2012-02-02,6.29,6.842,5634
Rogue One: A Star Wars Story,2016-12-16,7.6359,7.504,16217
Rebel Moon - Part One: A Child of Fire,2023-12-15,6.4437,6.219,2493
Resident Evil: Degeneration,2008-12-30,5.7245,6.8,1156
Batman & Robin,1997-06-20,6.8371,4.386,5338
Rebel Moon - Part Two: The Scargiver,2024-04-19,5.3936,6.062,1425
Contagion,2011-09-09,6.2172,6.643,6450
65,2023-03-10,7.1605,5.951,2779
Ant-Man and the Wasp,2018-07-06,7.1396,6.9,14035
The Cannibal in the Jungle,2015-04-27,5.5205,7.0,21
The Predator,2018-09-14,7.5158,5.624,5066
Captain America: The Winter Soldier,2014-04-04,6.0708,7.654,19804
Werewolves,2024-12-06,5.6021,5.845,474
Robots,2005-03-11,7.27,6.481,4859
#Alive,2020-09-08,6.225,7.2,2011
My Hero Academia: World Heroes' Mission,2021-10-29,5.3918,7.6,609
RoboCop,1987-07-17,6.9057,7.4,5617
Demolition Man,1993-10-08,7.268,6.753,4027
Looper,2012-09-28,6.6597,6.903,10752
10 Cloverfield Lane,2016-03-11,6.2593,6.999,8552
KISS Meets the Phantom of the Park,1978-10-28,5.2183,5.169,80
Nope,2022-07-22,6.7939,6.823,4750
Starship Troopers,1997-11-07,6.9571,7.096,5374
WarGames,1983-06-03,6.501,7.061,2108
Dragon Ball Z: Bojack Unbound,1993-07-10,6.7756,7.2,610
Allegiant,2016-03-18,5.3427,6.101,6913
The Invisible Man,2020-02-28,6.4595,7.1,6156
Boss Level,2021-03-05,6.0361,6.872,1861
The New Mutants,2020-08-28,5.1665,6.1,3660
Strange World,2022-11-23,4.3975,6.231,1399
Spectral,2016-12-09,7.6522,6.5,1935
Lightyear,2022-06-17,5.9371,6.881,3735
Underwater,2020-01-10,5.8975,6.282,3388
The Blob,1988-08-05,4.9776,6.839,1018
A Quiet Place Part II,2021-05-28,7.1641,7.439,7247
The Day After Tomorrow,2004-05-28,6.481,6.55,8716
Stargate,1994-10-28,5.9797,7.01,3724
The Abyss,1989-08-09,5.39,7.339,3357
Mortal Engines,2018-12-14,6.6729,6.201,5029
Doom,2005-10-21,5.3291,5.179,2388
A Cure for Wellness,2017-02-17,5.6926,6.352,4133
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023-08-02,5.2491,7.215,1543
Dragon Ball Z: The Return of Cooler,2002-08-13,6.5502,6.5,1088
Sunshine,2007-07-20,5.3609,6.96,4164
Maze Runner: The Scorch Trials,2015-09-18,5.6404,6.728,10912
Avengers: Secret Wars,2027-12-17,6.365,0.0,0
Mad Max 2,1982-05-21,5.1273,7.4,4101
Robotrix,1991-05-31,4.9163,5.9,45
Sonic the Hedgehog 4,2027-03-19,6.4079,0.0,0
Morbius,2022-04-01,6.5268,5.922,4732
Weird Science,1985-08-02,6.5837,6.542,1518
The Host,2007-03-09,5.0855,6.975,3067
Blue Beetle,2023-08-18,6.7579,6.644,3033
Spider-Man 2,2004-06-30,6.0233,7.302,16133
Passengers,2016-12-21,6.0742,6.952,14076
Maze Runner: The Death Cure,2018-01-26,6.2147,7.084,8300
Belle,2022-01-14,5.434,7.635,851
"The Tunnel to Summer, the Exit of Goodbyes",2023-11-03,5.4099,7.7,260
Star Trek Beyond,2016-07-22,6.115,6.783,7002
Teenage Mutant Ninja Turtles,1990-03-30,4.9931,6.7,1918
Deep Impact,1998-05-08,5.53,6.23,3247
Dark City,1998-02-27,6.3645,7.334,3129
Hypnotic,2023-05-12,6.3877,6.202,1435
Mars Attacks!,1996-12-13,6.0534,6.418,5805
Star Wars: The Mandalorian and Grogu,2026-05-22,6.1393,0.0,0
Power Rangers,2017-03-24,5.2505,6.25,4586
Cowboys & Aliens,2011-07-29,5.5766,5.641,5334
Other,2025-10-17,3.7957,5.707,46
The Adjustment Bureau,2011-03-04,5.2158,6.776,4832
Serenity,2005-09-30,6.2211,7.36,3799
The Guardians of the Galaxy Holiday Special,2022-11-25,5.5338,7.096,2310
Cloverfield,2008-01-18,5.3909,6.705,7661
Guardian,2001-06-12,7.1324,5.5,10
Viral,2016-07-29,6.0697,5.65,547
Mad Max Beyond Thunderdome,1985-07-08,4.5953,6.2,3204
Flash Gordon,1980-12-05,5.3945,6.244,1070
Moon,2009-06-12,6.3344,7.567,6159
Knights of the Zodiac,2023-05-12,4.96,6.292,1264
Survive,2025-01-10,5.5124,5.788,354
Palm Springs,2020-07-10,5.5252,7.334,3591
Dragon Ball Z: Super Android 13!,1992-07-11,5.2407,6.9,601
